"Name","Component","Side","Centre X","Centre Y","Rotation"
"J1","2041021-4","Bottom","475.65","464.73","0.00"
"J2","5747250-2","Bottom","520.00","546.00","0.00"
"IC1","ADM3202ARNZ-REEL7","Top","540.00","524.26","90.00"
"U2","AE-AQM1602A","Top","492.89","528.00","0.00"
"SW_File","B3FS-1000P","Top","460.07","495.13","90.00"
"SW_M0","B3FS-1000P","Top","470.07","487.63","90.00"
"SW_Mag","B3FS-1000P","Top","525.07","497.63","90.00"
"SW_Motor","B3FS-1000P","Top","460.07","467.63","90.00"
"SW_X+","B3FS-1000P","Top","515.07","484.63","90.00"
"SW_X-","B3FS-1000P","Top","495.07","484.63","90.00"
"SW_XY0","B3FS-1000P","Top","480.07","480.13","90.00"
"SW_XYset","B3FS-1000P","Top","540.07","485.13","90.00"
"SW_Y+","B3FS-1000P","Top","505.07","495.13","90.00"
"SW_Y-","B3FS-1000P","Top","505.07","475.13","90.00"
"SW_Z+","B3FS-1000P","Top","525.07","475.63","90.00"
"SW_Z-","B3FS-1000P","Top","525.07","460.13","90.00"
"SW_Z0","B3FS-1000P","Top","480.07","495.13","90.00"
"SW_Zset","B3FS-1000P","Top","540.07","500.13","90.00"
"C1","Capacitor","Top","536.45","516.64","90.00"
"C2","Capacitor","Top","541.27","512.32","90.00"
"C3","Capacitor","Top","532.38","529.34","180.00"
"C4","Capacitor","Top","543.05","516.64","90.00"
"C5","Capacitor","Top","529.84","524.00","0.00"
"C6","Capacitor","Bottom","481.66","488.06","270.00"
"C7","Capacitor","Bottom","477.85","481.71","90.00"
"U1","ESP32-DevKitC","Bottom","523.56","480.20","270.00"
"R1","Resistor_maltiPackege","Bottom","513.00","503.43","0.00"
"R2","Resistor_maltiPackege","Bottom","510.54","506.98","0.00"
"R3","Resistor_maltiPackege","Bottom","508.00","503.43","0.00"
"R4","Resistor_maltiPackege","Bottom","505.33","506.98","0.00"
"R5","Resistor_maltiPackege","Bottom","502.67","457.96","180.00"
"R6","Resistor_maltiPackege","Bottom","483.70","482.09","0.00"
"R7","Resistor_maltiPackege","Bottom","520.57","458.09","180.00"
"R8","Resistor_maltiPackege","Bottom","505.46","454.79","0.00"
"R9","Resistor_maltiPackege","Bottom","476.33","486.66","0.00"
